marketplacename,stock,tahunterbit,hargabuku,berat,lembartotal,status,urgent,tipetransaksi,servicefee,jumlah_order,jumlahcetak,kategoriutama,kategorisekunder,kategoritersier,statussku,tahun_transaksi,bulan_transaksi,hari_transaksi,dayofyear
6,0,2019.0,137000,0.0,49.0,1,0,1,0,2,2,5,36,68,0,2023,2,7,38
7,0,2022.0,113000,0.0,74.0,1,0,1,0,1,1,5,36,53,0,2023,2,7,38
6,0,2016.0,79000,0.0,36.0,1,0,1,0,1,0,10,63,53,1,2023,2,7,38
5,0,2021.0,93000,0.0,59.0,3,0,0,0,1,1,1,68,4,0,2023,2,7,38
3,0,2019.0,84000,0.0,52.0,3,0,0,0,1,1,3,51,53,0,2023,2,7,38
3,1,2017.0,90000,0.0,53.0,3,0,0,0,1,0,5,36,28,0,2023,2,7,38
6,0,2017.0,179000,0.0,163.0,1,0,1,0,1,1,5,41,53,0,2023,2,7,38
3,0,2019.0,83000,0.0,41.0,3,0,0,0,6,6,10,47,53,0,2023,2,7,38
3,4,2020.0,140000,0.0,73.0,3,0,0,0,1,2,10,77,53,0,2023,2,7,38
4,1,2018.0,98000,0.0,66.0,1,0,0,0,1,2,7,71,49,0,2023,2,7,38
3,1,2017.0,110500,0.0,59.0,3,0,0,0,1,1,5,36,53,0,2023,2,7,38
3,0,2018.0,140000,0.0,119.0,3,0,0,0,3,3,8,67,36,0,2023,2,7,38
3,2,2020.0,138000,0.0,77.0,3,0,0,0,1,0,11,50,53,0,2023,2,7,38
4,0,2021.0,146000,0.0,49.0,1,0,0,0,1,1,2,8,53,0,2023,2,7,38
3,0,2019.0,83000,0.0,41.0,3,0,0,0,2,2,10,47,53,0,2023,2,7,38
3,0,2019.0,83000,0.0,41.0,3,0,0,0,1,1,10,47,53,0,2023,2,7,38
3,1,2021.0,83000,0.0,38.0,3,0,0,0,1,0,5,41,53,0,2023,2,7,38
3,0,2019.0,143000,0.0,79.0,3,0,0,0,1,1,5,36,36,0,2023,2,7,38
6,0,2020.0,127000,0.0,74.0,1,0,1,0,1,1,8,20,53,0,2023,2,7,38
6,0,2019.0,112000,0.0,77.0,1,0,1,0,1,0,5,41,53,0,2023,2,7,38
6,0,2019.0,143000,0.0,79.0,1,0,1,0,1,1,5,36,36,0,2023,2,7,38
6,0,2019.0,138000,0.0,101.0,1,0,1,0,1,0,10,24,53,0,2023,2,7,38
6,0,2019.0,117000,0.0,71.0,1,0,1,0,1,1,5,31,36,0,2023,2,7,38
6,0,2019.0,150000,0.0,97.0,1,0,1,0,1,1,5,41,53,0,2023,2,7,38
6,0,2021.0,210000,0.0,86.0,1,0,1,0,1,1,8,93,69,1,2023,2,7,38
6,0,2021.0,132000,0.0,78.0,1,0,1,0,1,1,5,41,53,0,2023,2,7,38
3,3,2020.0,34000,0.0,59.0,3,0,0,0,1,0,4,61,32,0,2023,2,7,38
3,2,2019.0,64000,0.0,59.0,3,0,0,0,1,0,4,61,32,0,2023,2,7,38
3,0,2021.0,66000,0.0,59.0,3,0,0,0,1,0,8,46,47,0,2023,2,7,38
5,0,2019.0,166000,0.0,67.0,3,0,0,0,1,1,8,67,36,0,2023,2,7,38
5,0,2019.0,271000,0.0,236.0,1,0,0,21610,1,1,10,24,53,0,2023,2,7,38
3,2,2021.0,75000,0.0,44.0,1,0,0,5936,1,1,6,81,53,0,2023,2,7,38
3,0,2019.0,75000,0.0,45.0,1,0,0,5936,1,1,10,24,53,0,2023,2,7,38
3,3,2022.0,65000,0.0,29.0,3,0,0,0,1,0,8,46,72,0,2023,2,7,38
3,0,2019.0,105000,0.0,61.0,3,0,0,0,1,0,10,70,53,0,2023,2,7,38
3,0,2022.0,120000,0.0,66.0,3,0,0,0,1,1,4,61,15,0,2023,2,7,38
3,0,2022.0,120000,0.0,66.0,3,0,0,0,1,1,4,61,15,0,2023,2,7,38
